GiftId,Latitude,Longitude,Weight
1016,-77.6630310714,146.164706775,22.5789876273
64322,-77.691595715,146.467680252,30.8403568619
53012,-77.8012906395,148.008751974,21.4286343896
81703,-77.863401251,147.991700926,23.0219877374
89508,-78.0375457972,148.105497906,1
89384,-78.0534383076,147.631291644,46.2183153523
29319,-77.935733402,148.921080901,29.3840044214
56753,-77.8640412839,150.025934986,32.8019194081
82065,-78.3417639772,148.550247435,32.6973872382
89344,-78.5739645926,149.136910322,4.89675787049
3360,-78.7202482064,148.203975091,1
27236,-78.5489989247,147.565673728,14.7391190693
655,-78.5366171588,147.008228723,19.6148384954
16357,-78.7731990377,146.526595451,6.45874790879
49447,-78.926652932,146.136860107,9.17331454004
52966,-78.8761802285,147.460384458,8.32528368546
63536,-78.9141159701,148.675168764,1
98674,-79.3968411158,147.742764885,1
6114,-79.3600193921,146.336875507,1
67126,-79.2839930763,146.091985464,6.06262484512
32680,-79.1966712762,145.77086802,19.0319371835
43000,-79.2034437759,145.497882255,35.161823403
63264,-79.4574569285,145.182819676,37.7936636198
74374,-79.3152551968,143.438235021,9.91030683237
53360,-79.6962337677,142.029467297,3.62903853502
49081,-80.0120481413,144.206632589,1
27763,-79.9557798084,147.137229593,2.76750414381
2388,-80.1876351578,147.515322588,11.9021400965
47608,-80.2900035694,146.846681563,36.7871556789
9042,-80.4178105264,146.700921268,42.531119863
85265,-80.5251786781,146.274185739,7.25949838051
99397,-80.5647855165,144.99580203,1
98469,-80.5412641875,144.770478155,23.580772112
88021,-80.6109626476,143.851217396,32.396381196
88946,-80.5406026592,143.669929717,39.5650464647
52773,-80.8440574699,143.045891895,12.6083752753
74257,-80.9352884543,144.200267832,1
36202,-81.0850070415,143.258494981,1
56869,-81.2007060576,142.626538658,1
10739,-81.2636865788,142.238989336,1
33410,-81.1350287216,141.838076529,3.04368167573
22933,-81.1128821451,141.540000636,26.4051759076
61926,-81.2012583962,140.991961116,2.39553775728
35912,-80.9737777887,141.785626782,1
43612,-81.2989376661,143.409899531,2.76440194672
26090,-81.4908558263,143.422345053,7.94572203935
34007,-81.5647993263,143.966201799,17.8139004151
51313,-81.8089355558,142.303035762,3.01422200266
96296,-81.9630966403,142.01744015,17.7137679815
61243,-81.995236962,142.472741506,1
49803,-82.015576668,141.252605146,24.5359929554
76793,-82.1721027053,141.436324827,5.70196240485
16237,-82.3130728318,142.655026249,24.4274483656
25293,-82.5211963725,142.586768217,26.4026499934
88849,-82.6695363383,141.545838391,2.76430462581
93837,-82.8890322678,139.133790044,29.3674752739
44793,-82.9719188021,138.214990501,1
94732,-83.1510093426,137.551870926,20.8769480022
36398,-83.061841562,135.997268145,28.7148331874
7848,-82.9093797906,135.1919415,5.47181197179
14559,-83.0412720651,133.447773207,1
2382,-83.2168305273,133.397726994,1
40871,-83.260268464,134.830187126,4.30735393909
5096,-83.3868296905,135.283559519,7.41345563224
52287,-83.7020191809,136.552350632,18.5674822871
86125,-83.830538357,137.813625209,14.6980913949
97767,-83.9380162036,139.237838466,1
70737,-83.837629958,142.270814405,1.90415606139
54909,-83.6336663836,143.483675373,1.01836532495
93414,-83.6246927159,143.58989241,34.4273751139
36212,-83.4788782576,142.84753987,27.0026988433
