GiftId,Latitude,Longitude,Weight
32213,-18.703093076,145.964734719,1
67700,-18.7413536069,145.964032378,30.6259299734
18169,-18.7549857478,146.007548142,24.545442302
15291,-18.8360550564,145.852746221,1
62856,-19.1645458995,146.105014446,1
25893,-19.0081164275,146.274993814,6.03409269291
30835,-19.4351959027,146.2895857,26.0182196694
34964,-19.748581605,146.231269869,10.0553109943
98928,-19.9084579458,146.206823573,7.56020113019
36825,-20.045310746,145.972500539,1
6435,-20.010390949,145.921819258,20.2393961238
30992,-20.0408701449,145.907010498,5.69410801228
16968,-20.0712458537,145.912765701,1
10449,-19.7293063968,145.901348248,1
16790,-19.4640005997,145.840126974,1
8332,-19.4948913934,145.750891728,5.49160520239
58735,-19.546731578,145.617032812,27.5553136416
57070,-19.5941218281,145.389725349,4.2862020508
32874,-19.8637762063,145.516781383,1
15869,-19.9388381003,145.266795604,42.8130543992
7005,-20.1344300486,145.267193608,20.6072991643
58718,-19.9011592643,145.046179567,37.0513075297
90668,-20.3164939679,144.726594978,3.78030608159
80426,-20.3449212268,144.606243388,1
107,-20.4181932499,144.530504405,1
80014,-20.7224524605,144.370052616,10.6992669058
26084,-20.9813171146,144.401485575,4.41452336936
13818,-21.1207707874,144.472489743,6.45781714064
7705,-21.0344531174,144.629728662,24.5515851801
43379,-21.2415084183,144.749924967,16.6294272338
11059,-21.3856685162,144.782514035,4.89202017224
70235,-21.495661841,144.939323036,1
4404,-21.721029345,145.020706399,13.0526821134
43794,-21.8939589058,145.257496042,17.9707199179
63834,-21.5248730854,145.502917511,23.4375107737
40274,-21.1681558779,145.23926487,42.6786692135
65164,-21.2486792808,144.942205268,1
78280,-21.7577715314,144.591659861,3.93782843092
5605,-21.9111459553,144.211224932,1
83879,-21.9353119071,144.053783577,26.8076420392
50869,-22.0793335222,143.999772195,5.51341766952
79663,-22.4928502961,143.735991148,39.3642944278
26194,-22.5818886222,143.686551395,37.5739043683
87445,-22.5896028376,143.623639165,1
83254,-22.5336769283,143.572722007,5.15030781604
60388,-22.2578868991,143.369616638,20.0716221652
27375,-22.1111527788,143.300085517,24.7554087567
80488,-22.0659545339,143.296154168,1
81659,-21.9492625692,143.216852889,27.8077038035
90266,-22.2041152077,143.137464934,30.6495964016
4805,-22.3102044881,142.893858618,1
72850,-22.281819337,142.793169762,4.39166711652
60620,-22.1473843889,142.526661512,45.1952784334
66107,-22.2218378746,142.267497814,1
11449,-22.2505549008,142.267788975,41.09443453
23495,-22.1900288581,141.939258606,1
77420,-21.9702158568,141.959812995,4.93251332392
54017,-21.5351125747,142.09613917,22.5429231277
28162,-21.4684999327,141.980634499,1
43091,-21.5266400068,141.392012442,21.0862416694
9846,-20.7073685295,141.309455529,14.4288787223
69289,-20.487807759,140.98603558,1
22898,-20.4183897182,140.886943941,1
60740,-20.5475530827,140.801911953,13.5479284022
30493,-20.2761541032,140.417711738,2.18771644731
95892,-20.5865685371,140.237337235,10.6620006151
67492,-19.6203808822,140.134687728,1
31802,-19.3915115132,140.574888278,16.4341565061
94734,-19.3274334356,140.666599164,39.3038232137
42870,-20.1133792813,141.55427609,1
42369,-20.2992847308,141.378839383,12.5705794278
41986,-21.6017660251,140.348275319,13.3395832575
12316,-21.6618134172,140.404515061,1
37961,-21.9819337748,140.318299231,1
49514,-22.3056031248,140.114493485,7.18934068216
