GiftId,Latitude,Longitude,Weight
1812,8.76065792967,-8.94406318046,1
75306,8.74981012093,-8.61252153124,11.1454846338
65729,8.42623276444,-8.8193600123,1
90263,8.31282669167,-8.9830164885,1
77528,8.64589379338,-7.97460331897,27.3325788452
51017,6.81141788964,-6.94435124478,25.5895971401
69309,6.47625841715,-6.80834586984,30.6401610617
39467,6.32387498597,-6.68336901606,27.6916119694
62220,6.23678333162,-6.93889325007,23.998123863
48087,6.02175995825,-6.84629629801,12.9758964015
87146,5.76615551681,-6.38980386414,34.2911065035
82018,5.35245922875,-6.17305406953,33.187689631
19111,5.31279503464,-5.8934826281,13.7139112808
59470,5.43837790918,-5.84755157824,1
76009,5.80352216544,-5.83647305528,34.7272666773
52531,5.92641433232,-5.7321458556,11.5967514266
90703,6.12037879735,-5.64685740061,40.9734125778
33142,6.15234469489,-5.4766869212,44.2786110036
15249,5.81606946869,-5.11219112753,1
58037,5.90196634166,-4.81481290871,1
39922,5.55374139453,-4.87960649169,10.3896042033
83077,5.22205230824,-5.53202664283,1
87514,5.07088262288,-5.76879350284,1
42434,5.24482977512,-6.61173184826,1
74447,5.43044401651,-6.96511638991,1
7456,5.46607442627,-7.09659213017,1
79481,5.45793172867,-7.3844079898,9.71804074759
76389,5.30575734531,-7.52235216014,26.0496156565
17691,5.19240571105,-7.44952152574,12.0676653125
86989,5.43242979455,-7.59058037058,1
46615,4.93661571929,-7.6930427066,11.18749145
15101,4.67137615624,-7.67509485124,1
79513,4.5756854291,-7.58636879026,10.2555719862
47200,4.52997681091,-7.66825957894,1
45971,4.58045576859,-8.08984503298,3.43892042744
63619,4.74935996757,-8.20512210693,1
49046,5.00183261067,-6.92852714053,32.1750195723
2635,4.81703431175,-6.76337897198,2.75710313315
93678,6.29643688206,-6.25355218,1
89756,6.44111496019,-6.32629630206,1
78972,6.82320462011,-6.27981565506,1
62798,7.09453008778,-6.48740744296,1
98780,6.30771045352,-4.6974813766,31.259213827
81627,6.32751297653,-4.47987686017,1
44875,6.65184088064,-4.47478265072,1
42713,6.33149461623,-4.11794216981,15.0181921417
30589,6.28363193591,-3.98969537197,43.2551866202
50280,5.22150232392,-3.46262472883,1
31702,4.9513007586,-2.44616995336,5.43612322366
44302,5.91876799946,-1.56881321064,13.7950775632
45269,6.4403249221,-1.60492855091,30.9022496011
82437,8.52737923124,-3.42283795813,1
44686,8.54207336246,-3.71008153314,25.1772544954
4258,7.31188328104,4.4218788404,1
48405,7.02869787315,7.13170901391,9.05559081601
53058,6.89978118837,7.57506508179,32.7747380564
33264,6.87648360379,7.63640407396,1
55318,7.03925230275,7.65002544874,32.7194647044
15056,6.77575487438,7.85387536845,1
45993,6.37789325131,7.7743167111,26.4699848181
46604,6.35493042121,8.03471254097,1
13014,6.49672848133,8.33011863246,6.25237389762
68377,6.44231552458,8.45277349841,18.4185574312
31295,6.43257333305,8.63901104914,16.5529165161
35528,6.57845031673,8.59799072719,1
60120,6.74180286289,8.58688934646,45.2977076296
38689,6.76944702199,8.6272772617,19.4582324339
74956,5.87251805902,7.80308276888,17.0729597093
82473,5.43002092908,8.02259353437,8.3869844676
56662,5.25013147175,7.9131969756,46.81166745
67312,5.2172993756,8.03050799767,8.80260407956
32280,5.16190919101,8.16741747992,1
18121,5.22616438169,8.29717145616,15.2600506114
